"","Accession name","CUAL","LNGS","PTLC","DSTA","LFRT","LBTEF","CBTR","NMLB","ANGB","CUAL9M","LVC9M","TNPR9M","PL9M","STRP","STRC","PSTR","NMSR","TTRN","TFWSR","TTRW","TFWSS","TTSW","TTPW","AVPW","ARSR","SRDM"
"TMe-41","TMe-41","Light green","Short","Light green","Absent","25-50% leaf retention","2","White","2","150-300","Dark green","Light green","5","Medium (15-20cm)","Intermediate","Present","Irregular",6,3,1.4,0.7,1,0.5,2.4,1.2,2,42
"TMe-123","TMe-123","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","0","White","0","No branching","Dark green","Green purple","5","Medium (15-20cm)","Long","Present","Tending toward horizontal",2,0.5,2.6,0.65,2.8,0.7,5.4,1.35,0,39.8
"TMe-150","TMe-150","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","1","White","1","150-300","Green purple","Green purple","4","Long (25-30cm)","Absent","Absent","Tending toward horizontal",6,3,1.2,0.6,2.8,1.4,4,2,2,29.7
"TMe-206","TMe-206","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","0","White","0","No branching","Purple","Green purple","2","Long (25-30cm)","Absent","Present","Tending toward horizontal",2,2,1.6,1.6,2.4,2.4,4,4,0,43
"TMe-353","TMe-353","Green purple","Medium","Purple","Totally pigmented","<100% leaf retention","3","Cream","3","450-600","Green purple","Green purple","5","Long (25-30cm)","Absent","Absent","Irregular",20,5,5,1.25,16,4,21,5.25,3,37.9
"TMe-378","TMe-378","Green purple","Medium","Red","Totally pigmented","50-75% leaf retention","4","White","3","450-600","Green purple","Dark green","4","Long (25-30cm)","Absent","Absent","Tending toward horizontal",13,3.25,7,1.75,12,3,19,4.75,0,37
"TMe-386","TMe-386","Purple","Medium","Purple","Totally pigmented","50-75% leaf retention","3","Cream","3","450-600","Purple","Green purple","2","Long (25-30cm)","Short","Present","Tending toward horizontal",4,1,4.2,1.05,9,2.25,13.2,3.3,0,38.9
"TMe-436","TMe-436","Green purple","Long","Green purple","Top part","50-75% leaf retention","3","Cream","2","150-300","Purple","Dark green","5","Long (25-30cm)","Absent","Absent","Tending toward horizontal",14,4.66666666666667,2.8,0.933333333333333,4.4,1.46666666666667,7.2,2.4,6,36.9
"TMe-447","TMe-447","Green purple","Long","Green purple","Central part","50-75% leaf retention","2","Cream","2","450-600","Purple","Light green","5","Medium (15-20cm)","Absent","Absent","Irregular",10,2,2.8,0.56,6.2,1.24,9,1.8,0,41
"TMe-540","TMe-540","Dark green","Long","Red","Totally pigmented","50-75% leaf retention","1","Cream","3","450-600","Light green","Green purple","5","Medium (15-20cm)","Short","Present","Tending toward horizontal",5,1.25,4,1,5,1.25,9,2.25,0,37.9
"TMe-550","TMe-550","Green purple","Medium","Green purple","Top part","<100% leaf retention","4","Cream","3","450-600","Purple","Green purple","2","Long (25-30cm)","Absent","Absent","Tending toward horizontal",1,1,0.4,0.4,0.6,0.6,1,1,0,33.9
"TMe-589","TMe-589","Green purple","Medium","Green purple","Central part","25-50% leaf retention","0","White","0","No branching","Green purple","Dark green","2","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",2,1,0.6,0.3,0.4,0.2,1,0.5,0,40
"TMe-603","TMe-603","Green purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","2","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Present","Irregular",24,4.8,38,7.6,42,8.4,80,16,3,40.7
"TMe-667","TMe-667","Green purple","Long","Green purple","Central part","25-50% leaf retention","1","White","1","450-600","Purple","Dark green","1","Long (25-30cm)","Absent","Absent","Tending toward horizontal",5,5,1.8,1.8,4.2,4.2,6,6,0,36.8
"TMe-725","TMe-725","Green purple","Long","Green purple","Central part","50-75% leaf retention","3","Cream","5","750-900","Green purple","Light green","5","Medium (15-20cm)","Absent","Present","Tending toward horizontal",18,6,11,3.66666666666667,21,7,32,10.6666666666667,2,23.9
"TMe-766","TMe-766","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","1","Cream","2","450-600","Dark green","Purple","2","Long (25-30cm)","Absent","Absent","Irregular",9,3,5,1.66666666666667,12,4,17,5.66666666666667,0,38.2
"TMe-778","TMe-778","Dark green","Long","Green purple","Central part","50-75% leaf retention","1","White","2","150-300","Light green","Green purple","3","Long (25-30cm)","Short","Absent","Irregular",8,2,4,1,5.2,1.3,9.2,2.3,0,29.7
"TMe-815","TMe-815","Green purple","Medium","Green purple","Central part","25-50% leaf retention","2","White","3","750-900","Dark green","Dark green","1","Long (25-30cm)","Short","Absent","Tending toward horizontal",1,1,12,12,3,3,15,15,0,44.3
